,company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,stck_ann,next_day
0,Housing Development Finance Corpn. Ltd.,2007-06-29 00:00:00,406.04,253006607,1,2007,18045.6,14575.8,3728.1,2007-07-10 13:42:01,1,,
1,H D F C Bank Ltd.,2007-06-29 00:00:00,114.41,333187008,1,2007,20691.6,23204.7,3212.3,2007-07-10 13:42:01,0,,
2,L I C Housing Finance Ltd.,2007-06-29 00:00:00,41.28,84932600,1,2007,4529.1,4151.3,466.9,2007-07-17 16:51:51,0,,
3,I C I C I Bank Ltd.,2007-06-29 00:00:00,173.69,1011610904,1,2007,73308.3,85063.4,7750.8,2007-07-21 12:57:45,0,,
4,Canara Bank,2007-06-29 00:00:00,262.28,410000000,1,2007,33799.7,35195.2,2405.5,2007-07-25 13:29:58,0,,
5,Bank Of Baroda,2007-06-29 00:00:00,54.05,364266000,1,2007,26004.4,26939.6,3308.4,2007-07-28 00:00:00,0,,
6,State Bank Of India,2007-06-29 00:00:00,143.92,526298878,1,2007,110905,108032.8,14258.1,2007-07-28 13:12:32,0,,
7,Max Financial Services Ltd.,2007-06-29 00:00:00,242.4,221568715,1,2007,482.6,613.8,38.1,2007-07-31 17:47:57,0,,
12,Kotak Mahindra Bank Ltd.,2007-06-29 00:00:00,168.13,326428115,1,2007,4972.2,5467.6,476.8,2007-10-26 13:25:33,0,,
8,Housing Development Finance Corpn. Ltd.,2007-09-28 00:00:00,505.45,271551427,2,2007,18886,18023.1,4034.4,2007-10-12 12:56:43,1,,
9,H D F C Bank Ltd.,2007-09-28 00:00:00,143.91,353451920,2,2007,23627.6,24766.6,3684.8,2007-10-12 12:56:43,0,,
10,I C I C I Bank Ltd.,2007-09-28 00:00:00,193.3,1111912138,2,2007,75243.6,85937,10026,2007-10-19 16:13:16,0,,
11,L I C Housing Finance Ltd.,2007-09-28 00:00:00,47.91,84932600,2,2007,5232.3,4220.2,1163.8,2007-10-22 12:05:54,0,,
13,State Bank Of India,2007-09-28 00:00:00,184.05,526298878,2,2007,116162.8,120468,16114.2,2007-10-27 17:57:59,0,,
14,Max Financial Services Ltd.,2007-09-28 00:00:00,241.3,221734965,2,2007,976.5,831.2,169.2,2007-10-29 16:28:45,0,,
15,Bank Of Baroda,2007-09-28 00:00:00,65.32,364266400,2,2007,28797.7,30066.4,3271.9,2007-10-31 00:00:00,0,,
16,Canara Bank,2007-09-28 00:00:00,270.6,410000000,2,2007,34826,36530.9,4015.7,2007-10-31 14:23:35,0,,
19,Kotak Mahindra Bank Ltd.,2007-09-28 00:00:00,230.41,326950052,2,2007,5918.1,6387.8,753.8,2008-01-21 13:53:31,0,,
